Name,Latitude,Longitude,Rating
Key Food Supermarkets,40.7171382,-73.9804011,3.9
MORTON WILLIAMS SUPERMARKETS,40.7378369,-73.9801146,3.8
MORTON WILLIAMS SUPERMARKETS,40.7277826,-73.9987835,4.0
Westside Market NYC,40.7387517,-73.99907639999999,4.1
Morton Williams Supermarkets,40.739412699999995,-73.98725379999999,3.5
Whole Foods Market,40.7449592,-73.99529129999999,4.2
Fairway Market of Chelsea,40.7445028,-73.99142499999999,4.2
Trader Joe's,40.733371,-73.9878966,4.5
Trader Joe's,40.7418962,-73.99381679999999,4.6
55 Fulton Market,40.7087181,-74.00471859999999,4.1
Trader Joe's,40.7439882,-73.97908389999999,4.5
Whole Foods Market,40.7346935,-73.9912519,4.2
Key Food Supermarkets,40.6828775,-73.96323629999999,3.9
Key Food Supermarkets,40.6949016,-73.9954578,3.8
SuperFresh Two Bridges,40.7108765,-74.0002319,3.8
Key Food Urban Marketplace,40.7240032,-73.984763,4.2
Super Foodtown,40.6797,-73.9444,4.1
Fine Fare Supermarkets,40.698214799999995,-73.92603919999999,4.1
Wegmans,40.7302556,-73.99116409999999,4.3
City Acres Market,40.706347,-74.0073462,4.2
